dataset,algorithm,status,n_samples,n_features,true_k,ari,ami,nmi,silhouette,n_pred_clusters,time_seconds
blobs_large_2d_20c,hdbscan,ok,5000,2,20,0.4420062144933052,0.7779420280037013,0.7795886425741705,0.5381823159867921,9,0.14
blobs_large_3d_8c,deltric,ok,5000,3,8,0.8713071136928382,0.9534551307347793,0.9535559613748197,0.6843783029997551,7,19.31
blobs_large_3d_8c,kmeans--,ok,5000,3,8,0.9761034166141175,0.9763267675473914,0.9763827039285813,0.621073850525644,8,0.81
blobs_large_3d_8c,hdbscan,ok,5000,3,8,0.8645117535233456,0.9539605280996384,0.9540602542753341,0.6919714045941242,7,0.14
blobs_medium_10d_5c,deltric,ok,2000,10,5,1.0,1.0,1.0,0.7442706432070516,5,8.96
blobs_medium_10d_5c,kmeans--,ok,2000,10,5,1.0,1.0,1.0,0.7441701693549372,5,0.45
blobs_medium_10d_5c,hdbscan,ok,2000,10,5,1.0,1.0,1.0,0.7441701693549372,5,0.05
blobs_medium_20d_5c,deltric,ok,2000,20,5,1.0,1.0,1.0,0.8137000638472447,5,10.76
blobs_medium_20d_5c,kmeans--,ok,2000,20,5,1.0,1.0,1.0,0.8136083230732322,5,0.45
blobs_medium_20d_5c,hdbscan,ok,2000,20,5,1.0,1.0,1.0,0.8136083230732322,5,0.07
blobs_medium_2d_10c,deltric,ok,2000,2,10,0.6560332667426158,0.87477531891799,0.8756604056388657,0.666562474021434,7,0.19
blobs_medium_2d_10c,kmeans--,ok,2000,2,10,0.8008913345406179,0.8770519183078903,0.8781446292468417,0.5299661765952812,10,0.72
blobs_medium_2d_10c,hdbscan,ok,2000,2,10,0.7825108254737816,0.9056592239822326,0.9067789415812246,0.6058474621342523,11,0.05
blobs_medium_50d_5c,deltric,ok,2000,50,5,1.0,1.0,1.0,0.7900839067370636,5,9.96
blobs_medium_50d_5c,kmeans--,ok,2000,50,5,1.0,1.0,1.0,0.7900231679814221,5,0.58
blobs_medium_50d_5c,hdbscan,ok,2000,50,5,1.0,1.0,1.0,0.7900231679814221,5,0.13
blobs_small_2d_5c,deltric,ok,500,2,5,0.470082206666544,0.7358119192102383,0.7376046856584165,0.7308821538184676,3,0.06
blobs_small_2d_5c,kmeans--,ok,500,2,5,0.6296346217958053,0.6914129215231721,0.6945271542432687,0.4903606095489289,5,0.59
blobs_small_2d_5c,hdbscan,ok,500,2,5,0.46588370758846664,0.7264854193836853,0.7282507000009294,0.709070717261025,3,0.03
blobs_small_5d_3c,deltric,ok,1000,5,3,1.0,1.0,1.0,0.8289881800191969,3,7.61
